Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,
Drunk Elephant,Serum,4250.18,5,162,Normal,26-35,Vitamin C,Kojic Acid,Uneven texture,
Fenty Beauty,Sunscreen,1403.98,4.4,10,Normal,26-35,Peptides,Salicylic Acid,Pores,
Rare Beauty,Sunscreen,885.83,3.5,85,Acne-prone,18-25,Niacinamide,Ceramides,Acne,
Aveeno,Toner,1402.22,3.9,15,Oily,26-35,Titanium Dioxide,Squalane,Dark spots,
Tatcha,Facial Oil,2085.07,4.2,22,Combination,18-25,Titanium Dioxide,Peptides,Dryness,
La Roche-Posay,Eye Cream,1412.91,4.8,917,Oily,36-45,Glycolic Acid,Ceramides,Acne,
Rare Beauty,Facial Oil,2099.36,3.8,591,Acne-prone,56+,Jojoba Oil,Titanium Dioxide,Redness,
Youth to the People,Night Cream,2794.06,5,24,Acne-prone,26-35,Azelaic Acid,Peptides,Fine lines,
Glossier,Sunscreen,801.09,3.4,129,Normal,18-25,Azelaic Acid,Glycolic Acid,Fine lines,
Tatcha,Serum,2635.77,5,350,Dry,56+,Glycolic Acid,Tea Tree Oil,Acne,
La Roche-Posay,Moisturizer,1129.03,3.2,12,Dry,18-25,Retinol,Glycolic Acid,Redness,
Aveeno,Face Mask,1047.97,3.8,101,Sensitive,56+,Zinc Oxide,Ceramides,Anti-aging,
The Ordinary,Eye Cream,1655.6,4.6,39,Combination,36-45,Lactic Acid,Peptides,Fine lines,
Skinceuticals,Toner,1947.65,4.6,24,Sensitive,56+,Hyaluronic Acid,Squalane,Sensitivity,
Youth to the People,Facial Oil,2350.02,4.4,85,Oily,26-35,Salicylic Acid,Peptides,Anti-aging,
Paula's Choice,Exfoliant,2218.19,5,33,Normal,18-25,Vitamin C,Lactic Acid,Oiliness,
Fresh,Serum,1370.04,3.3,25,Combination,46-55,Vitamin C,Squalane,Sensitivity,
Fenty Beauty,Toner,875.51,4.4,32,Dry,46-55,Tea Tree Oil,Zinc Oxide,Sensitivity,
Fenty Beauty,Eye Cream,2149.02,5,125,Sensitive,56+,Tea Tree Oil,Hyaluronic Acid,Hyperpigmentation,
CeraVe,Eye Cream,1567.08,4.8,102,Sensitive,46-55,Titanium Dioxide,Alpha Arbutin,Pores,
Paula's Choice,Sunscreen,696.59,2.6,98,Dry,26-35,Hyaluronic Acid,Niacinamide,Dullness,
Youth to the People,Sunscreen,743.6,3.2,8,Normal,18-25,Ceramides,Jojoba Oil,Dark spots,
La Roche-Posay,Serum,1255.24,3.6,70,Acne-prone,18-25,Titanium Dioxide,Retinol,Anti-aging,
Fresh,Exfoliant,2014.33,4.8,112,Sensitive,56+,Azelaic Acid,Alpha Arbutin,Oiliness,
Fenty Beauty,Exfoliant,1097.62,3.7,157,Oily,56+,Alpha Arbutin,Peptides,Dullness,
Skinceuticals,Moisturizer,1382.7,3.8,50,Dry,18-25,Alpha Arbutin,Titanium Dioxide,Sensitivity,
Estee Lauder,Face Mask,1109.01,4.1,11,Normal,36-45,Azelaic Acid,Titanium Dioxide,Sensitivity,
Skinceuticals,Eye Cream,3314.86,5,51,Combination,46-55,Bakuchiol,Glycolic Acid,Dryness,
Neutrogena,Moisturizer,1564.85,4.9,83,Sensitive,26-35,Salicylic Acid,Lactic Acid,Dark spots,
The Ordinary,Night Cream,1620.81,3.7,215,Sensitive,46-55,Peptides,Benzoyl Peroxide,Sensitivity,
La Roche-Posay,Toner,826.42,3.4,14,Dry,36-45,Glycolic Acid,Niacinamide,Dark spots,
Drunk Elephant,Serum,4230.13,5,1,Acne-prone,56+,Hyaluronic Acid,Salicylic Acid,Sensitivity,
Rare Beauty,Sunscreen,1318.93,5,76,Acne-prone,46-55,Kojic Acid,Niacinamide,Dryness,
Skinceuticals,Moisturizer,2707.92,5,38,Acne-prone,18-25,Peptides,Benzoyl Peroxide,Uneven texture,
Tatcha,Night Cream,4632.19,5,80,Acne-prone,18-25,Hyaluronic Acid,Kojic Acid,Anti-aging,
Kiehl's,Cleanser,1308.66,3.3,46,Oily,18-25,Retinol,Bakuchiol,Acne,
Olay,Eye Cream,1279.16,4.8,173,Sensitive,36-45,Bakuchiol,Kojic Acid,Pores,
Youth to the People,Serum,2064.97,4.5,144,Dry,56+,Zinc Oxide,Azelaic Acid,Hyperpigmentation,
Tatcha,Sunscreen,2244.22,4.9,30,Oily,36-45,Zinc Oxide,Retinol,Oiliness,
Estee Lauder,Cleanser,776.74,4.5,51,Sensitive,18-25,Tea Tree Oil,Titanium Dioxide,Anti-aging,
Aveeno,Night Cream,2712.63,5,44,Acne-prone,56+,Azelaic Acid,Titanium Dioxide,Acne,
CeraVe,Exfoliant,913.54,3.4,58,Normal,36-45,Peptides,Ceramides,Dark spots,
Tatcha,Eye Cream,3694.97,5,55,Combination,26-35,Peptides,Titanium Dioxide,Redness,
Aveeno,Night Cream,1649.15,4.7,28,Oily,56+,Benzoyl Peroxide,Ceramides,Fine lines,
L'Oreal,Eye Cream,2189.56,5,8,Oily,46-55,Kojic Acid,Alpha Arbutin,Acne,
The Ordinary,Sunscreen,1360.5,3.3,71,Dry,46-55,Bakuchiol,Tea Tree Oil,Uneven texture,
Aveeno,Facial Oil,1420.73,4.1,72,Oily,18-25,Peptides,Tea Tree Oil,Pores,
Fenty Beauty,Toner,829.02,3,125,Dry,46-55,Salicylic Acid,Azelaic Acid,Acne,
Aveeno,Moisturizer,1902.68,3.7,51,Dry,56+,Retinol,Peptides,Dryness,
The Ordinary,Sunscreen,1076.74,4,983,Oily,26-35,Peptides,Salicylic Acid,Oiliness,
Fresh,Night Cream,2198.26,5,39,Combination,26-35,Glycolic Acid,Kojic Acid,Dark spots,
Tatcha,Sunscreen,2013.44,5,68,Combination,46-55,Azelaic Acid,Lactic Acid,Uneven texture,
Clinique,Eye Cream,2525.88,5,40,Combination,46-55,Hyaluronic Acid,Jojoba Oil,Pores,
Youth to the People,Cleanser,960.21,4.2,7,Sensitive,18-25,Peptides,Retinol,Pores,
L'Oreal,Cleanser,955.18,4.1,44,Sensitive,18-25,Jojoba Oil,Lactic Acid,Hyperpigmentation,
Kiehl's,Face Mask,1531.16,4,53,Combination,46-55,Alpha Arbutin,Azelaic Acid,Acne,
The Ordinary,Sunscreen,1047.97,3.7,44,Acne-prone,56+,Kojic Acid,Squalane,Fine lines,
Paula's Choice,Moisturizer,1274.79,3.8,145,Sensitive,36-45,Squalane,Zinc Oxide,Anti-aging,
Rare Beauty,Serum,2865.41,5,86,Oily,36-45,Kojic Acid,Glycolic Acid,Dark spots,
Paula's Choice,Night Cream,2181.21,3.9,7,Normal,18-25,Jojoba Oil,Zinc Oxide,Dullness,
Rare Beauty,Toner,959.66,4.5,205,Acne-prone,36-45,Tea Tree Oil,Retinol,Oiliness,
Neutrogena,Eye Cream,2310.73,4.9,47,Acne-prone,56+,Bakuchiol,Ceramides,Pores,
Olay,Facial Oil,1061.01,3.3,21,Oily,26-35,Niacinamide,Alpha Arbutin,Pores,
Rare Beauty,Facial Oil,1568.56,4,75,Sensitive,26-35,Retinol,Azelaic Acid,Oiliness,
Drunk Elephant,Exfoliant,3385.25,5,27,Dry,18-25,Vitamin C,Tea Tree Oil,Anti-aging,
Tatcha,Facial Oil,2837.68,5,15,Normal,56+,Azelaic Acid,Kojic Acid,Dark spots,
CeraVe,Cleanser,1083.16,2.6,21,Acne-prone,46-55,Peptides,Hyaluronic Acid,Dryness,
Rare Beauty,Toner,782.25,3.3,81,Oily,36-45,Ceramides,Alpha Arbutin,Oiliness,
Drunk Elephant,Serum,2961.17,5,20,Combination,18-25,Benzoyl Peroxide,Bakuchiol,Oiliness,
L'Oreal,Cleanser,791.56,3.5,14,Combination,18-25,Titanium Dioxide,Benzoyl Peroxide,Dark spots,
Aveeno,Exfoliant,2020.35,4.7,29,Oily,46-55,Tea Tree Oil,Squalane,Sensitivity,
Origins,Night Cream,3068.82,5,378,Combination,36-45,Lactic Acid,Zinc Oxide,Dullness,
Aveeno,Night Cream,2324.85,5,355,Combination,26-35,Azelaic Acid,Lactic Acid,Hyperpigmentation,
Rare Beauty,Eye Cream,2564.04,4.9,38,Acne-prone,56+,Kojic Acid,Vitamin C,Dark spots,
Kiehl's,Exfoliant,2037.02,3.8,20,Oily,36-45,Vitamin C,Ceramides,Oiliness,
Olay,Facial Oil,1237.94,2.9,82,Acne-prone,26-35,Tea Tree Oil,Salicylic Acid,Hyperpigmentation,
The Ordinary,Toner,713.3,2.7,77,Sensitive,46-55,Niacinamide,Jojoba Oil,Redness,
Skinceuticals,Exfoliant,1866.7,3.6,39,Combination,56+,Azelaic Acid,Jojoba Oil,Pores,
The Ordinary,Serum,2312.99,4.4,48,Normal,26-35,Vitamin C,Kojic Acid,Oiliness,
CeraVe,Cleanser,521.71,3.3,402,Acne-prone,46-55,Peptides,Ceramides,Pores,
Glossier,Exfoliant,1520.83,3.8,6,Normal,26-35,Niacinamide,Bakuchiol,Dryness,
Youth to the People,Serum,2113.93,3.9,80,Normal,46-55,Titanium Dioxide,Lactic Acid,Fine lines,
La Roche-Posay,Cleanser,794.43,3.8,60,Normal,18-25,Azelaic Acid,Alpha Arbutin,Anti-aging,
Kiehl's,Toner,1790.17,4.9,34,Sensitive,26-35,Peptides,Glycolic Acid,Anti-aging,
Fenty Beauty,Sunscreen,729.64,3.5,195,Combination,46-55,Peptides,Squalane,Redness,
Youth to the People,Toner,642.71,3.5,118,Normal,18-25,Zinc Oxide,Jojoba Oil,Dullness,
Origins,Exfoliant,1777.76,3.9,222,Acne-prone,56+,Niacinamide,Glycolic Acid,Dullness,
Drunk Elephant,Moisturizer,1373.92,3.1,65,Sensitive,18-25,Azelaic Acid,Niacinamide,Dullness,
Youth to the People,Serum,1590.31,5,16,Dry,18-25,Retinol,Titanium Dioxide,Oiliness,
La Roche-Posay,Sunscreen,994.43,2.5,49,Sensitive,46-55,Glycolic Acid,Vitamin C,Dark spots,
Estee Lauder,Moisturizer,1261.35,4.8,233,Sensitive,18-25,Bakuchiol,Kojic Acid,Anti-aging,
The Ordinary,Exfoliant,1774.46,4.4,141,Acne-prone,36-45,Titanium Dioxide,Squalane,Dullness,
Fresh,Face Mask,687.44,3.2,20,Oily,18-25,Benzoyl Peroxide,Salicylic Acid,Dullness,
Neutrogena,Sunscreen,838.08,4,15,Dry,46-55,Kojic Acid,Lactic Acid,Acne,
Rare Beauty,Face Mask,758.38,2.5,100,Combination,56+,Titanium Dioxide,Jojoba Oil,Acne,
Paula's Choice,Exfoliant,1946.18,5,140,Dry,18-25,Glycolic Acid,Salicylic Acid,Pores,
Youth to the People,Eye Cream,2541.83,3.6,20,Dry,26-35,Glycolic Acid,Jojoba Oil,Hyperpigmentation,
Rare Beauty,Sunscreen,1224.42,2.8,62,Combination,56+,Salicylic Acid,Titanium Dioxide,Dryness,
Fresh,Exfoliant,1747.18,5,36,Normal,56+,Alpha Arbutin,Vitamin C,Dark spots,
Fresh,Toner,945.69,4.8,58,Sensitive,18-25,Glycolic Acid,Lactic Acid,Dryness,
CeraVe,Eye Cream,2061.98,4.8,249,Normal,18-25,Squalane,Tea Tree Oil,Sensitivity,
Neutrogena,Cleanser,1079.74,3.2,37,Oily,18-25,Zinc Oxide,Ceramides,Oiliness,
Origins,Serum,2306.26,5,146,Normal,36-45,Squalane,Niacinamide,Pores,
Youth to the People,Eye Cream,2171.74,4.9,275,Sensitive,56+,Retinol,Bakuchiol,Sensitivity,
CeraVe,Night Cream,3499.62,5,21,Normal,56+,Titanium Dioxide,Jojoba Oil,Anti-aging,
Neutrogena,Moisturizer,1320.12,3.4,9,Dry,56+,Niacinamide,Salicylic Acid,Anti-aging,
Paula's Choice,Exfoliant,1220.98,4.3,528,Normal,18-25,Niacinamide,Squalane,Oiliness,
Paula's Choice,Facial Oil,1390.01,3.3,42,Oily,46-55,Azelaic Acid,Hyaluronic Acid,Acne,
Glossier,Face Mask,554.16,3.9,105,Acne-prone,36-45,Retinol,Hyaluronic Acid,Anti-aging,
Skinceuticals,Toner,1500.76,4.4,63,Sensitive,26-35,Retinol,Zinc Oxide,Acne,
Skinceuticals,Moisturizer,2408.7,4.7,48,Combination,56+,Lactic Acid,Titanium Dioxide,Dark spots,
Clinique,Night Cream,2751.49,5,403,Sensitive,46-55,Peptides,Jojoba Oil,Dullness,
Skinceuticals,Face Mask,1012.64,4.8,99,Normal,46-55,Bakuchiol,Jojoba Oil,Hyperpigmentation,
Skinceuticals,Toner,1825.36,4.4,236,Acne-prone,18-25,Lactic Acid,Ceramides,Oiliness,
Rare Beauty,Serum,2732.39,4.6,164,Acne-prone,56+,Azelaic Acid,Squalane,Redness,
CeraVe,Sunscreen,1043.26,2.5,31,Combination,26-35,Retinol,Hyaluronic Acid,Redness,
The Ordinary,Toner,580.58,2.3,60,Combination,46-55,Salicylic Acid,Zinc Oxide,Sensitivity,
Origins,Serum,1711.09,3.6,89,Combination,56+,Azelaic Acid,Zinc Oxide,Dryness,
L'Oreal,Sunscreen,1390.83,3.5,334,Normal,26-35,Alpha Arbutin,Retinol,Dryness,
Drunk Elephant,Toner,2155.88,4.7,318,Sensitive,18-25,Kojic Acid,Niacinamide,Pores,
The Ordinary,Toner,1160.61,4,803,Acne-prone,46-55,Bakuchiol,Glycolic Acid,Dryness,
L'Oreal,Exfoliant,1070.75,3.7,187,Oily,56+,Kojic Acid,Benzoyl Peroxide,Dryness,
CeraVe,Cleanser,609.96,4.4,154,Acne-prone,46-55,Benzoyl Peroxide,Alpha Arbutin,Pores,
Fenty Beauty,Toner,714.99,2,21,Sensitive,46-55,Azelaic Acid,Alpha Arbutin,Dark spots,
Paula's Choice,Night Cream,2702.84,5,40,Sensitive,36-45,Vitamin C,Benzoyl Peroxide,Anti-aging,
Youth to the People,Facial Oil,2495.81,5,25,Dry,18-25,Benzoyl Peroxide,Glycolic Acid,Dark spots,
Fresh,Moisturizer,2092.08,4.4,97,Dry,36-45,Peptides,Tea Tree Oil,Sensitivity,
La Roche-Posay,Face Mask,438.36,2.8,12,Sensitive,26-35,Hyaluronic Acid,Zinc Oxide,Fine lines,
Paula's Choice,Toner,1133.01,4.3,58,Dry,26-35,Benzoyl Peroxide,Retinol,Fine lines,
Tatcha,Toner,1254.68,4.5,84,Normal,26-35,Kojic Acid,Jojoba Oil,Oiliness,
CeraVe,Exfoliant,1966.02,4.9,3279,Sensitive,56+,Niacinamide,Kojic Acid,Anti-aging,
Fenty Beauty,Sunscreen,951.63,5,47,Normal,56+,Ceramides,Tea Tree Oil,Dullness,
Paula's Choice,Toner,1059.32,3.8,4,Combination,56+,Azelaic Acid,Zinc Oxide,Dullness,
CeraVe,Exfoliant,1438.5,4.4,101,Sensitive,26-35,Vitamin C,Salicylic Acid,Dryness,
Paula's Choice,Exfoliant,2004.5,4.4,12,Sensitive,18-25,Alpha Arbutin,Jojoba Oil,Fine lines,
Youth to the People,Face Mask,630.33,3.3,1,Sensitive,46-55,Lactic Acid,Salicylic Acid,Redness,
Rare Beauty,Night Cream,1582.3,4.2,129,Normal,26-35,Hyaluronic Acid,Jojoba Oil,Redness,
Youth to the People,Cleanser,586.2,3.4,250,Combination,26-35,Vitamin C,Zinc Oxide,Uneven texture,
Clinique,Facial Oil,3179.83,5,11,Oily,46-55,Zinc Oxide,Kojic Acid,Dullness,
Olay,Serum,2169.52,4.1,23,Oily,46-55,Ceramides,Hyaluronic Acid,Dullness,
The Ordinary,Eye Cream,1664.65,5,223,Acne-prone,18-25,Retinol,Titanium Dioxide,Dullness,
Olay,Exfoliant,1537.05,3.8,101,Acne-prone,26-35,Hyaluronic Acid,Niacinamide,Redness,
Fresh,Face Mask,781.13,2.9,96,Dry,46-55,Vitamin C,Bakuchiol,Acne,
L'Oreal,Sunscreen,1552.09,4,7,Dry,26-35,Vitamin C,Niacinamide,Oiliness,
Skinceuticals,Cleanser,1014.64,3.3,33,Combination,18-25,Lactic Acid,Retinol,Oiliness,
Neutrogena,Exfoliant,983.36,4.4,320,Oily,36-45,Squalane,Tea Tree Oil,Fine lines,
Paula's Choice,Moisturizer,2013.13,5,29,Acne-prone,18-25,Tea Tree Oil,Salicylic Acid,Dryness,
Glossier,Eye Cream,1658.5,4.7,311,Sensitive,56+,Hyaluronic Acid,Benzoyl Peroxide,Redness,
La Roche-Posay,Moisturizer,1241.63,3.1,86,Combination,36-45,Bakuchiol,Lactic Acid,Redness,
Origins,Sunscreen,1523.4,5,70,Sensitive,26-35,Alpha Arbutin,Bakuchiol,Dullness,
Origins,Serum,1967.65,3.8,19,Normal,56+,Titanium Dioxide,Peptides,Anti-aging,
Drunk Elephant,Toner,1902.35,5,288,Sensitive,36-45,Alpha Arbutin,Hyaluronic Acid,Dullness,
Glossier,Sunscreen,912.02,4.8,93,Sensitive,56+,Hyaluronic Acid,Azelaic Acid,Dryness,
Youth to the People,Sunscreen,1281.94,3.5,110,Acne-prone,18-25,Glycolic Acid,Benzoyl Peroxide,Oiliness,
CeraVe,Eye Cream,2289.53,4.3,187,Oily,18-25,Bakuchiol,Lactic Acid,Dryness,
Tatcha,Exfoliant,2348.55,5,40,Dry,26-35,Niacinamide,Hyaluronic Acid,Dullness,
Paula's Choice,Facial Oil,2488.75,4.4,39,Oily,26-35,Squalane,Salicylic Acid,Acne,
Clinique,Cleanser,1722.21,4.2,92,Sensitive,26-35,Salicylic Acid,Benzoyl Peroxide,Pores,
Fresh,Moisturizer,930.53,3.7,29,Oily,18-25,Zinc Oxide,Jojoba Oil,Fine lines,
Fenty Beauty,Serum,1828.12,4.7,92,Normal,36-45,Alpha Arbutin,Benzoyl Peroxide,Dullness,
The Ordinary,Moisturizer,1162.93,3.7,9,Oily,26-35,Hyaluronic Acid,Ceramides,Acne,
Aveeno,Cleanser,909.82,3.2,39,Oily,18-25,Niacinamide,Tea Tree Oil,Redness,
Glossier,Exfoliant,1053.95,5,19,Sensitive,18-25,Tea Tree Oil,Lactic Acid,Acne,
Clinique,Eye Cream,3304.36,5,84,Acne-prone,36-45,Salicylic Acid,Ceramides,Dryness,
Fresh,Cleanser,912.21,4.9,19,Oily,56+,Azelaic Acid,Alpha Arbutin,Hyperpigmentation,
Paula's Choice,Eye Cream,2764.17,5,26,Combination,18-25,Salicylic Acid,Titanium Dioxide,Dullness,
L'Oreal,Serum,1462.72,3.8,255,Combination,36-45,Glycolic Acid,Vitamin C,Dark spots,
Kiehl's,Sunscreen,1662.29,3.4,399,Combination,36-45,Alpha Arbutin,Vitamin C,Uneven texture,
Rare Beauty,Eye Cream,1713.84,5,7,Combination,36-45,Niacinamide,Alpha Arbutin,Pores,
Glossier,Serum,1860.43,4.6,12,Normal,26-35,Glycolic Acid,Benzoyl Peroxide,Hyperpigmentation,
Youth to the People,Moisturizer,2042.42,3.2,95,Oily,56+,Ceramides,Retinol,Dryness,
CeraVe,Exfoliant,2249.13,5,24,Dry,56+,Lactic Acid,Benzoyl Peroxide,Uneven texture,
Youth to the People,Facial Oil,1891.13,3.7,236,Dry,46-55,Tea Tree Oil,Benzoyl Peroxide,Fine lines,
Glossier,Eye Cream,2586.67,4.6,53,Acne-prone,18-25,Bakuchiol,Titanium Dioxide,Redness,
Paula's Choice,Serum,1306.06,3.8,124,Combination,18-25,Peptides,Glycolic Acid,Oiliness,
Kiehl's,Cleanser,1236.66,4.6,45,Dry,26-35,Niacinamide,Salicylic Acid,Sensitivity,
Tatcha,Moisturizer,2624.25,5,4,Acne-prone,56+,Jojoba Oil,Ceramides,Oiliness,
Aveeno,Serum,1197.32,3.4,579,Dry,18-25,Vitamin C,Lactic Acid,Dryness,
The Ordinary,Exfoliant,1060.91,3.9,34,Oily,26-35,Azelaic Acid,Zinc Oxide,Fine lines,
Fenty Beauty,Moisturizer,1982.89,3.9,40,Oily,36-45,Squalane,Hyaluronic Acid,Uneven texture,
Glossier,Moisturizer,1079.08,3.9,138,Acne-prone,56+,Bakuchiol,Alpha Arbutin,Dark spots,
Skinceuticals,Sunscreen,2329.01,4.5,18,Sensitive,36-45,Glycolic Acid,Niacinamide,Dullness,
Drunk Elephant,Moisturizer,2332.03,4.6,123,Combination,36-45,Azelaic Acid,Retinol,Pores,
Olay,Sunscreen,831.83,3.7,49,Dry,36-45,Squalane,Ceramides,Fine lines,
The Ordinary,Moisturizer,2015.44,5,48,Oily,36-45,Alpha Arbutin,Hyaluronic Acid,Acne,
CeraVe,Cleanser,956.87,3.6,25,Sensitive,46-55,Vitamin C,Benzoyl Peroxide,Redness,
Estee Lauder,Face Mask,848.88,3.5,121,Sensitive,26-35,Niacinamide,Kojic Acid,Sensitivity,
CeraVe,Facial Oil,1790.56,5,188,Sensitive,46-55,Kojic Acid,Glycolic Acid,Dryness,
Tatcha,Serum,2764.92,5,13,Acne-prone,26-35,Benzoyl Peroxide,Vitamin C,Anti-aging,
Neutrogena,Sunscreen,1225.68,4.6,53,Dry,26-35,Zinc Oxide,Lactic Acid,Uneven texture,
La Roche-Posay,Serum,2484.34,4.5,5,Dry,18-25,Bakuchiol,Niacinamide,Dryness,
Olay,Eye Cream,2250.15,5,36,Normal,46-55,Alpha Arbutin,Azelaic Acid,Acne,
La Roche-Posay,Moisturizer,1154.67,4.5,118,Normal,46-55,Alpha Arbutin,Azelaic Acid,Dark spots,
Tatcha,Serum,3520.73,5,287,Normal,46-55,Benzoyl Peroxide,Hyaluronic Acid,Dark spots,
Skinceuticals,Sunscreen,1707.09,4.6,685,Normal,36-45,Jojoba Oil,Lactic Acid,Redness,
Fresh,Toner,937.95,4.7,413,Normal,18-25,Alpha Arbutin,Kojic Acid,Oiliness,
Tatcha,Toner,1733.45,4,261,Sensitive,36-45,Vitamin C,Squalane,Oiliness,
The Ordinary,Toner,807.01,3.3,30,Acne-prone,46-55,Salicylic Acid,Squalane,Uneven texture,
L'Oreal,Facial Oil,2339.29,4.4,61,Combination,46-55,Vitamin C,Ceramides,Pores,
Glossier,Exfoliant,1993.75,4.3,310,Oily,18-25,Hyaluronic Acid,Peptides,Oiliness,
Aveeno,Serum,2694.56,5,215,Oily,18-25,Jojoba Oil,Vitamin C,Fine lines,
CeraVe,Face Mask,520.66,4.2,131,Combination,46-55,Vitamin C,Peptides,Pores,
Skinceuticals,Facial Oil,3837.72,5,32,Sensitive,26-35,Bakuchiol,Jojoba Oil,Pores,
Skinceuticals,Cleanser,970.01,3.4,33,Oily,56+,Niacinamide,Bakuchiol,Fine lines,
Kiehl's,Facial Oil,4044.33,5,28,Dry,46-55,Titanium Dioxide,Peptides,Dullness,
Glossier,Facial Oil,1256.35,4.9,78,Acne-prone,56+,Kojic Acid,Glycolic Acid,Acne,
Skinceuticals,Sunscreen,1652.91,4.1,190,Oily,18-25,Hyaluronic Acid,Tea Tree Oil,Sensitivity,
Kiehl's,Face Mask,1602.4,4.1,184,Acne-prone,18-25,Vitamin C,Titanium Dioxide,Sensitivity,
Olay,Serum,2407.36,5,34,Oily,56+,Tea Tree Oil,Benzoyl Peroxide,Sensitivity,
Clinique,Cleanser,948.03,3.4,188,Oily,46-55,Ceramides,Bakuchiol,Pores,
Clinique,Eye Cream,2151.88,3.9,83,Normal,46-55,Jojoba Oil,Retinol,Dark spots,
Estee Lauder,Facial Oil,3275.75,5,23,Sensitive,26-35,Niacinamide,Kojic Acid,Oiliness,
Fresh,Exfoliant,1771.04,5,6,Combination,26-35,Bakuchiol,Salicylic Acid,Sensitivity,
Youth to the People,Eye Cream,2361,5,262,Normal,36-45,Peptides,Salicylic Acid,Redness,
Clinique,Toner,1047.49,3.7,40,Sensitive,26-35,Squalane,Ceramides,Redness,
Fresh,Eye Cream,3205.34,5,99,Sensitive,26-35,Squalane,Kojic Acid,Anti-aging,
Clinique,Serum,1951.2,4.5,4,Acne-prone,56+,Bakuchiol,Titanium Dioxide,Fine lines,
The Ordinary,Toner,1429.27,4.5,263,Combination,26-35,Squalane,Niacinamide,Dryness,
Skinceuticals,Exfoliant,2034.12,4.2,8,Acne-prone,46-55,Kojic Acid,Benzoyl Peroxide,Dullness,
CeraVe,Serum,2075.17,5,38,Oily,56+,Vitamin C,Alpha Arbutin,Dullness,
Drunk Elephant,Serum,2018.36,4.7,10,Normal,18-25,Azelaic Acid,Vitamin C,Dryness,
Estee Lauder,Moisturizer,3056.57,4.8,68,Combination,26-35,Hyaluronic Acid,Retinol,Fine lines,
Origins,Facial Oil,1896.05,5,35,Sensitive,56+,Glycolic Acid,Peptides,Sensitivity,
Olay,Serum,1899.69,4.4,159,Combination,36-45,Salicylic Acid,Benzoyl Peroxide,Acne,
Drunk Elephant,Eye Cream,3612,5,9,Normal,18-25,Alpha Arbutin,Tea Tree Oil,Dryness,
Estee Lauder,Toner,2092.31,5,4,Oily,56+,Vitamin C,Lactic Acid,Redness,
Clinique,Night Cream,4038.43,5,164,Acne-prone,56+,Benzoyl Peroxide,Kojic Acid,Sensitivity,
Origins,Exfoliant,1673.74,3.6,122,Normal,18-25,Hyaluronic Acid,Benzoyl Peroxide,Uneven texture,
Glossier,Facial Oil,2292.2,4.4,23,Sensitive,18-25,Azelaic Acid,Kojic Acid,Anti-aging,
Neutrogena,Exfoliant,2074.06,5,20,Acne-prone,26-35,Lactic Acid,Jojoba Oil,Dullness,
The Ordinary,Cleanser,1210.19,3.3,62,Normal,56+,Niacinamide,Azelaic Acid,Uneven texture,
Kiehl's,Moisturizer,1821.68,4.2,193,Dry,56+,Ceramides,Benzoyl Peroxide,Pores,
Rare Beauty,Toner,1370.64,3.9,25,Dry,46-55,Benzoyl Peroxide,Kojic Acid,Dullness,
Paula's Choice,Face Mask,955.6,4.6,10,Acne-prone,18-25,Niacinamide,Hyaluronic Acid,Uneven texture,
Drunk Elephant,Serum,1824.45,3.7,87,Normal,26-35,Benzoyl Peroxide,Zinc Oxide,Uneven texture,
Skinceuticals,Sunscreen,1119.81,3.9,34,Dry,36-45,Retinol,Benzoyl Peroxide,Acne,
Clinique,Serum,3797.58,5,10,Oily,26-35,Hyaluronic Acid,Tea Tree Oil,Uneven texture,
Drunk Elephant,Cleanser,1227.94,3.5,280,Sensitive,18-25,Benzoyl Peroxide,Peptides,Dullness,
CeraVe,Toner,1377.21,5,355,Combination,46-55,Ceramides,Titanium Dioxide,Dark spots,
Aveeno,Face Mask,919.29,3.6,9,Acne-prone,26-35,Retinol,Alpha Arbutin,Fine lines,
Fenty Beauty,Toner,1081.78,4.8,105,Oily,46-55,Titanium Dioxide,Bakuchiol,Oiliness,
La Roche-Posay,Sunscreen,1323.01,4.3,41,Normal,26-35,Azelaic Acid,Peptides,Redness,
Neutrogena,Face Mask,722.18,3,31,Dry,56+,Retinol,Hyaluronic Acid,Dullness,
CeraVe,Night Cream,2109.35,4.4,149,Sensitive,26-35,Azelaic Acid,Glycolic Acid,Dryness,
L'Oreal,Toner,1029.26,4.3,6,Dry,46-55,Tea Tree Oil,Alpha Arbutin,Anti-aging,
L'Oreal,Toner,1343.44,3.3,70,Oily,18-25,Zinc Oxide,Kojic Acid,Dark spots,
Rare Beauty,Sunscreen,1491.89,3.8,29,Sensitive,18-25,Tea Tree Oil,Zinc Oxide,Sensitivity,
Neutrogena,Sunscreen,749.31,3.5,29,Acne-prone,26-35,Salicylic Acid,Benzoyl Peroxide,Fine lines,
L'Oreal,Serum,1954.89,3.7,52,Acne-prone,36-45,Bakuchiol,Zinc Oxide,Dark spots,
Estee Lauder,Cleanser,1404.68,5,8,Normal,56+,Kojic Acid,Glycolic Acid,Dullness,
Youth to the People,Sunscreen,1474.73,5,26,Dry,26-35,Alpha Arbutin,Ceramides,Pores,
Neutrogena,Night Cream,3328.42,5,8,Combination,26-35,Vitamin C,Alpha Arbutin,Pores,
